term	hits	files	proposing_entries	inherited_lead	disposition
看破	618	160	覷破		SELECTED_NEXT500
兩序	598	129	序	In the institutional compound 'the two ranks' or 'the two divisions' (兩序), rank or division (序) names one of the two sides of a Chan community's offices. The Baizhang Regulations labels its sixth chapter 'the chapter on the two divisions' (兩序章), then identifies 'head monks of the western division' (西序頭首) and 'officers of the eastern division' (東序知事). Recorded sayings use 'the two divisions' for the office-holders who request an ascent to the hall, receive thanks, or support the community. Baiyu's record says that the two divisions served mutually as arms and elbows and acted reciprocally as host and guest (兩序交為肘臂、互作主賓). | This is the Chan-institutional use found especially in the fixed compound 'the two divisions' (兩序). The corpus itself supplies the western-division/eastern-division subdivision; the entry does not infer duties beyond the stated labels and recorded deployments.	SELECTED_NEXT500
堂頭	594	174	方丈		SELECTED_NEXT500
指頭	591	186	一指頭禪	"Literally, ""one-finger Chan."" The phrase names Juzhi's recorded use of a raised finger in public interviews. A later record states the visible rule directly: ""Whenever someone came, Master Juzhi only extended one finger; he called it one-finger Chan"" (俱胝和尚逢人但伸一指頭，喚做一指頭禪). In the transmitted case, Tianlong raises one finger to Juzhi; afterward, whenever students ask, Juzhi raises one finger, and before dying he says, ""I obtained Tianlong's one-finger Chan; through my whole life I could not use it up"" (吾得天龍一指頭禪，一生用不盡). The record also preserves criticism rather than making the label an unquestioned formula: Xuansha says he would have broken the finger, Caoshan faults Juzhi's taking it up, and Sanshan asks, ""What connection does one-finger Chan have? | It cheated that monk and buried him alive his whole life"" (一指頭禪有甚交涉？"	UNREVIEWED_INVESTIGATION
主中主	590	172	主中賓、賓中主		SELECTED_NEXT500
擔板	589	186	擔板漢		UNREVIEWED_INVESTIGATION
門風	587	196	宗風、綿密	眉毛與虗空廝結，針劄不入，水洒不濕，不容有毫釐間隙). Dahui critically reports people who attach an answer directly to a student's question and call it close-woven, not falling among affective objects (喚作綿密不落情塵); he also reports one-sentence answers called close-woven and called not running away (謂之綿密，謂之不走). Yongjue is asked for a close-woven house style and answers, “the golden needle does not permit knowing” (如何是綿密門風？	SELECTED_NEXT500
要津	585	199	坐斷	Literally, 'sit across and cut off.' The compound occurs 3,034 times in 339 allowed texts and takes concrete grammatical objects. Yuanwu answers a monk with 'sit across and cut off the tongues of everyone under heaven' (坐斷天下人舌頭), says that 'emerging and submerging are all sat across and cut off' (頭出頭沒悉皆坐斷), and records a monk's conclusion, 'then one sits across and cuts off the ten directions' (坐斷十方). Blue Cliff commentary says a master's half-phrase 'naturally sits across and cuts off the tongues of everyone under heaven' (自然坐斷天下人舌頭). The Ancestral Guidelines Collection says 'sit across and bar the critical crossing; do not let ordinary or holy pass' (坐斷要津，不通凡聖), and elsewhere, 'sit across and cut off the crown of Vairocana; do not receive Śākyamuni's text' (坐斷毗盧頂，不稟釋迦文). Other frequent objects include past and present, a thousand distinctions, the road's intersection, and the heads of buddhas. The verb is therefore transitive and spatially forceful in the corpus; it is not a term for seated quiet.	UNREVIEWED_INVESTIGATION
正偏	585	163	回互、寶鏡三昧	To turn or return (回) in reciprocal relation (互): mutual interchange. The corpus provides a compact self-gloss in the lines 'the objects at every gate interchange and do not interchange; turning, they further enter into one another; otherwise each remains in its position' (門門一切境，回互不回互，回而更相涉，不爾依位住). This wording permits both relation and distinct position rather than reducing the term to simple fusion. Caoshan says ordinary feelings and holy views must interchange (直須回互). In Caodong usage upright and crooked (正偏), light and dark (明暗), or guest and host (賓主) can mutually interchange; one later address expands the guest-host deployment as each containing the other and the two exchanging positions without a fixed rank.	UNREVIEWED_INVESTIGATION
道一句	584	194	作麼生道		UNREVIEWED_INVESTIGATION
火爐	583	182	露柱		SELECTED_NEXT500
五燈	579	72	傳燈、聯燈		UNREVIEWED_INVESTIGATION
騰騰	566	202	任運		UNREVIEWED_INVESTIGATION
接物	563	221	應機		UNREVIEWED_INVESTIGATION
第二句	563	151	威音王	"A proper name, literally ""Mighty-Sound King"" (威音王), occurring 487 times in 171 allowlisted texts. The extended form ""Mighty-Sound King Buddha"" (威音王佛) occurs 80 times. Chan records most often place the name in temporal and spatial formulas: ""before Mighty-Sound King"" (威音王已前, 181 occurrences), ""after Mighty-Sound King"" (威音王已後, 33), and ""the far side of Mighty-Sound King"" (威音王那畔, 17). In the Nanquan-Huangbo exchange, Huangbo says he followed the Way ""before Mighty-Sound King""; Nanquan answers, ""you are still a descendant of old Master Wang"" (猶是王老師兒孫在), using Nanquan's surname Wang in the reply. In the Yongjia record, Xuanze says, ""before Mighty-Sound King, it is acceptable; after Mighty-Sound King, awakening by oneself without a teacher is entirely the way of outsiders"" (威音王已前即得，威音王已後無師自悟，盡是天然外道). Xuedou records ""awakening by oneself without a teacher before Mighty-Sound King"" as ""the second phrase"" (是第二句). A late Sanfeng record supplies an explicit internal gloss: ""Mighty-Sound King is outside form and sound, not yet set out in records, without evidence to examine—the highest matter before writing"" (威音王者，形聲之外，未有出載，無所考據，文字以前最上事也). This entry reports the proper name and the corpus's formulas without adding another framework."	SELECTED_NEXT500
大地山河	562	211	山河大地		UNREVIEWED_INVESTIGATION
應物	562	183	隨緣	Literally, 'follow circumstances.' The expression occurs 1,829 times in 308 allowlisted texts. Its subject may be a person, conduct, an event, or a thing's functioning. Records pair it with eating and drinking, going on one's way, passing one's days in a boat, responding to people and things, and being free and unconfined. One paired description is 'follow circumstances, free and unconfined; respond to things and act' (隨緣放曠，應物施為). A biography records the saying, 'In all affairs, follow circumstances; this is a way of ease.' A recurrent exchange asks, 'What is following circumstances as the site of the Way?	UNREVIEWED_INVESTIGATION
遊方	561	118	行腳		UNREVIEWED_INVESTIGATION
金身	546	187	丈六金身	Wave-plan frequency: 373. Searches covered the grass reversal, refuse-heap placement, direct interview question, verse deployment, and the family terms a single blade of grass (一莖草), golden body (金身), buddha-body (佛身), and buddha (佛). One referent—the monumental golden buddha-body—appears in all deployments; comparisons do not create senses.	UNREVIEWED_INVESTIGATION
祖印	542	170	心印、提持		SELECTED_NEXT500
光影	541	190	光影門頭	"Literally, ""at the gate or threshold of light and shadow."" The phrase occurs 28 times in 22 allowlisted texts. The corpus supplies its architectural contrast directly: people have not recognized ""the coarse, shallow business under the gate of light and shadow"" and mistake it for ""the matter inside the house"" (光影門頭戶底麤淺底事，將作屋裏事). Elsewhere students are said to ""recognize only the gate of light and shadow as themselves"" (惟認光影門頭當作自己), and an address warns, ""do not bury yourself at the gate of light and shadow"" (切忌向光影門頭自埋沒). The phrase also enters verse as a place not to stop: ""do not halt your steps at the gate of light and shadow"" (光影門頭休駐足). Hongzhi supplies a notable counter-deployment: ""a person who settles the matter at the gate of light and shadow will do"" (光影門頭了事底漢即得), then immediately asks how one proceeds before guest and host divide and before an image is formed. Zen thus bends ordinary light, shadow, and doorway language into a recurring label for the visible or reflected threshold that records contrast with the inside of the house, oneself, and the not-yet-formed image."	UNREVIEWED_INVESTIGATION
根器	541	190	格外		UNREVIEWED_INVESTIGATION
顯露	540	187	全體		UNREVIEWED_INVESTIGATION
千聖不傳	532	192	向上一路	The single 'road upward.' Its locus classicus is Panshan Baoji's sermon: after weighing (即心即佛) ('this mind is Buddha') as still too green and (非心非佛) ('not mind, not Buddha') as merely 'the far limit of pointing,' he says (向上一路)，(千聖不傳)，(學者勞形)，(如猿捉影) ('the road upward — the thousand sages do not transmit it; the student wears himself out, like an ape grabbing at reflections'). (千聖不傳) ('the thousand sages hand it down to no one') is its standing collocation. Later masters keep the phrase in use by riffing on it: Ciming answers (向上一路)，(千聖不然) ('...the thousand sages do not make it so'), Xiangfu (向上一路)，(掘地覓天) ('...digging the ground to look for heaven'), and elsewhere (盤山道向上一路滑) ('the road upward is slippery'). Asked flat out (如何是向上一路) ('what is the road upward? | Corpus-wide stock phrase, not one master's property. Panshan Baoji is the locus classicus (attested independently in 景德傳燈錄 and 五燈會元); the (千聖不傳) tag and the pointing-not-defining answers recur across the record. RelatedTerm (向上) is a genuine constituent (the 'upward' direction); (千聖不傳) is its standing collocation. Attestation (allowlist grep): (向上一路) 955 hits in 213 texts, joined directly to its tag as (向上一路)(，)(千聖不傳) in 338 hits across 149 texts (千聖不傳 alone: 529 in 192); the test-question (如何是向上一路) 99 hits in 48 texts; the Panshan riff (向上一路滑) 24 in 20. The question is also posed in the waived form (向上一路即不問)，(千聖不傳事若何)？	SELECTED_NEXT500
香爐	518	180	寒灰		SELECTED_NEXT500
頭首	514	99	序	In the institutional compound 'the two ranks' or 'the two divisions' (兩序), rank or division (序) names one of the two sides of a Chan community's offices. The Baizhang Regulations labels its sixth chapter 'the chapter on the two divisions' (兩序章), then identifies 'head monks of the western division' (西序頭首) and 'officers of the eastern division' (東序知事). Recorded sayings use 'the two divisions' for the office-holders who request an ascent to the hall, receive thanks, or support the community. Baiyu's record says that the two divisions served mutually as arms and elbows and acted reciprocally as host and guest (兩序交為肘臂、互作主賓).	SELECTED_NEXT500
計較	513	162	情識	The first graph names feelings, sentiments, or affective responses; the second names recognizing or discerning cognition. Together they name cognition operating through feeling and recognition. Yuanwu repeatedly pairs it with estimating and reckoning: he asks whether a passage can be estimated through affective cognition (以情識卜度得麼) and calls explanations offered in public addresses affective-cognitive reckoning (情識計較). Xuedou says that even recognizing the lineage at the words still remains dim beyond affective cognition (言下知宗，尚昧情識之表). Another address excludes both affective cognition and distinguishing from a stated sentence (非情識分別). Liaoan describes people stuck to affective cognition as occupied with ornamental composition (彼膠於情識者，方以雕蟲篆刻為事). Across these passages the term is a noun, the base for the verbs estimate, reckon, and distinguish, and the object of the verbs stick to and exhaust. It occurs 475 times in 136 allowlisted files.	UNREVIEWED_INVESTIGATION
試道看	505	166	且道、速道		SELECTED_NEXT500
劫火	501	182	隨他去		UNREVIEWED_INVESTIGATION
亡僧	495	121	觸目菩提		UNREVIEWED_INVESTIGATION
回顧	489	162	顧視		UNREVIEWED_INVESTIGATION
僧堂前	488	155	僧堂	Literally, the 'monks' hall.' The term occurs 1,743 times in 275 allowed texts and denotes a physical communal building with an inside, front, door, bell, places, beds, and stored robe-and-bowl sets. 'In front of the monks' hall' (僧堂前) occurs 488 times in 155 texts; 'enter the monks' hall' (入僧堂) occurs 200 times in 101 texts; and 'inside the monks' hall' (僧堂內) occurs 94 times in 51 texts. The monastic regulations direct that the bell before the hall be struck three times before the assembly disperses (鳴僧堂前鐘三下。	UNREVIEWED_INVESTIGATION
清淨法身	487	163	法身	"The corpus does not reduce the word to one theoretical proposition. It asks about the teaching-body, its ""function"" (法身用), its ""side"" (法身邊), and ""the matter beyond the teaching-body"" (法身向上事). The Old Venerables Record even says the teaching-body has ""two kinds of illness"" (法身兩般病): reaching it while attachment to the standard remains, with one's own view still present and sitting at its side, is the first. Frequent forms include ""pure teaching-body"" (清淨法身, 487 occurrences), ""the teaching-body has no form"" (法身無相, 141), ""the teaching-body speaks"" (法身說法, 27), ""the teaching-body's side"" (法身邊事, 202), ""master of the teaching-body"" (法身主, 132), and ""the teaching-body's function"" (法身用, 23)."	SELECTED_NEXT500
這邊	484	127	那畔		UNREVIEWED_INVESTIGATION
心要	477	131	發明	Translate the corpus term rather than importing modern “invention” or automatically making it “enlightenment.” Named-object verbs and result-noun grammar remain one sense. Compare the great matter (大事), fundamental great matter (本分大事), mind-ground (心地), essentials of mind (心要), awakening to the Way (悟道), awakening (悟), and realization (證).	SELECTED_NEXT500
穿鑿	470	173	杜撰		UNREVIEWED_INVESTIGATION
展手	468	146	玄路	Literally, 'the dark' or 'hidden road.' The term occurs 268 times in 116 allowed texts. It is especially prominent in Caodong records, where one text says Dongshan taught 'three roads' (三路): the hidden road, the bird road, and extending the hand (玄路、鳥道、展手). Asked, 'How does the hidden road receive people?	UNREVIEWED_INVESTIGATION
縱奪	466	179	殺人刀、殺活	A pair made from 'kill' (殺) and 'keep alive or give life' (活): killing and giving life. It appears with other paired Linji-house terms in the list 'killing and giving life, granting and taking, provisional and actual, illuminating and functioning' (殺活縱奪、權實照用). Fixed forms include 'free in killing and giving life' (殺活自在, 45 occurrences), 'killing or giving life according to the occasion' (殺活臨時), and 'killing and giving life at the same time or at different times' (殺活同時／殺活不同時). The record explicitly pairs it with the sword that kills a person (殺人刀) and the sword that gives a person life (活人劍): one turning word is the killing sword, one the life-giving sword, one kills and gives life at once, and one does so at different times (一轉語是殺人刀、一轉語是活人劍、一轉語殺活同時、一轉語殺活不同時). Another passage asks directly, 'What is killing?	SELECTED_NEXT500
溈仰	466	175	五家		UNREVIEWED_INVESTIGATION
祖師門下	463	148	水泄不通	"Literally, ""not passable even by leaking water"": sealed so tight that not even water passes. The phrase occurs 150 times in 76 allowlisted texts. In the records it regularly describes the impassability of the ancestral gate and places associated with Bodhidharma: ""before Shaoshi Peak, not even water passes"" (少室峰前，水泄不通) and ""under the patriarch's gate, not even water passes"" (祖師門下，水泄不通). One address sets it against ""the Buddha-work gate, where wind passes and grass bends"" (佛事門中，風行草偃). Another makes it one of three eyes: one is watertight and ordinary and initiated cannot be distinguished; one opens the whole earth and the ten directions are unobstructed; one surveys high and low and all kinds look up. The phrase also enters public questioning: ""where not even water passes, is there still a way through?"	SELECTED_NEXT500
向上宗乘	462	157	向上		SELECTED_NEXT500
法孫	462	106	法嗣		UNREVIEWED_INVESTIGATION
緣生	462	103	生緣		UNREVIEWED_INVESTIGATION
窠窟	461	160	窠臼		UNREVIEWED_INVESTIGATION
眼前	456	210	觸目		UNREVIEWED_INVESTIGATION
野狐精	456	138	野狐	As 'wild-fox spirit' (野狐精), the word forms an abusive epithet for a person or view. Masters shout it at interlocutors, and Dahui warns against making a 'wild-fox-spirit interpretation' (野狐精見解). The referent is the person or understanding being denounced, not the animal body in the Baizhang narrative or the case as a textual object.	SELECTED_NEXT500
己事	454	143	本分事		UNREVIEWED_INVESTIGATION
主宰	450	152	客塵	Literally, “guest-dust”: dust characterized as a visitor rather than the host. Much of the corpus preserves it in the inherited compound “guest-dust troubles” (客塵煩惱), something said to stain, cover, or be unrecognized. The distinct Chan deployment appears in Baizhang Huaihai's recorded classification: “one's own mind is buddha; illuminating function belongs to bodhisattva; mind after mind is the ruler; illuminating function belongs to guest-dust” (自心是佛，照用屬菩薩；心心是主宰，照用屬客塵). Here “guest-dust” is not merely a name for dirt or an outside visitor; Baizhang places it on the “illuminating function” side of a ruler/guest classification and immediately compares it to speaking of water by way of waves (如波說水). The Ancient Worthies' Recorded Sayings and the Expanded Lamp preserve this wording independently. Elsewhere the Records say a grown child learns explanations and does not know that these are “guest-dust troubles” (不知是客塵煩惱); Dahui speaks of the “stain of guest-dust troubles since beginningless time” (無始時來客塵煩惱之染); and the Admonitions for the Monastic Gate has the compact bodily compound “body-and-mind guest-dust” (身心客塵). The Zen record therefore keeps the inherited dust imagery but also bends it into Baizhang's explicit ruler/function classification.	UNREVIEWED_INVESTIGATION
末後一句	449	157	一句、末後句	Allowlist count: 15,708 occurrences in 419 texts. Family checks covered “first phrase” (第一句), “second phrase” (第二句), “third phrase” (第三句), “final phrase” (末後一句) and its shorter form (末後句), “upward phrase” (向上一句), “out-of-pattern phrase” (出格一句), the diminutive “one phrase” (一句子), “one conforming phrase” (一句合頭語), “under one phrase” (一句下), “a thousand and ten thousand phrases” (千句萬句), and the general “phrase” entry (句). Item-8 review found position and qualification families, not different objects: verse line, spoken phrase, quoted saying, and section-qualified phrase remain countable utterance units in the harvested passages. Twelve exact-headword witnesses replace the former thin set; two former KWICs that contained only the shorter “final phrase” form (末後句), rather than the exact headword “one phrase” (一句), were removed. No occurrence is retained merely to support an interpretive meaning for an unspecified phrase. | ” (如何是末後句), receiving many recorded answers. Other texts set it beside the first word and middle word, or say that “the last word only arrives at the locked barrier” (末後一句始到牢關). The same literal phrase is also used contextually for a master's actual final utterance or death-period words. Records ask for a late master's last word on a memorial day, say that dying seated or standing is “called the last word,” and narrate Sixin Wuxin answering a request for a last word with a verse before his death. These death and memorial uses are attested instances of the same last or final utterance, not a different lexical thing. The texts give many answers and situations but no single further gloss, and neither does this entry.	SELECTED_NEXT500
法衣	446	150	法身	"Literally the body's or person-shaped term (身) formed with ""teaching, standard, or law"" (法): here, ""teaching-body,"" attested 6,058 times in 376 allowlisted texts. This English target follows the Chan record's own comparisons rather than importing a glossary definition. Qianyan places three word explanations together: a robe displays the teaching and so is a ""teaching-robe"" (法衣); ""a person can enlarge the Way, therefore it is called teaching-body"" (人能宏道，故謂之法身); and being everywhere and clear is called the ""teaching-eye"" (法眼). Other records give deliberately different predicates. Weilin calls it ""each person's originally present own nature"" (當人本有之自性). Huanglong says, ""the teaching-body has no form; responding to things, it manifests form"" (法身無相，應物現形), then raises his whisk and calls that the teaching-body before laughing. A Five Lamps exchange answers the question with ""a flower in the sky, a heat shimmer"" (空華陽焰). The Ancestral Hall Collection answers it by repeating that ""all activities are the teaching-body's function"" (一切施為，盡是法身用)."	SELECTED_NEXT500
赤肉團	441	177	無位、無位真人	"Literally 'a true person of no rank' — (位) is rank/office/status (the graded positions of the bureaucracy, or of ranked stages). Linji coins it in his most famous (上堂): 「(赤肉團上有一無位真人)，(常從汝等諸人面門出入)」 — 'on your lump of red flesh there is one true person of no rank, forever going in and out through your face and sense-gates'; those who have not yet witnessed it, 'look! | 頂門上時時顯現，眼睛裏處處…」 — it shows itself on the crown of the head and in the pupils of the eyes). The opening line recurs verbatim across the record — (赤肉團上有一無位真人), 87 hits in 71 allowlist texts — and (如何是無位真人) becomes a standing test-question in its own right (141 hits in 96 texts): the (靈機禪師語錄) answers it ""met face to face"" (覿面相逢), and when the questioner counters ""what is the true person WITH rank? | Exact unsplit count: 1,473 hits in 267 allowlisted texts; true person without rank (無位真人) accounts for 1,259 hits in 250 texts. Without rank/order (無位次) has 91 in 63; originally without rank/order (本無位次) 28 in 25. This Chan rank-language is separated from ordinary lack of institutional position below. Family checked against true person without rank (無位真人), rank/order (位次), with rank (有位), no dependence (無依), red flesh-lump (赤肉團), and rank/position (位)."	SELECTED_NEXT500
悟處	441	153	省悟		UNREVIEWED_INVESTIGATION
欠少	439	147	具足	To be complete, fully endowed, or lacking nothing. The headword occurs 2,264 times in 303 allowlisted texts. Xuansha says, “each person is fully endowed; each person is manifest” (人人具足，人人成現). Another address ranges across monastics and laypeople, women and men, wise and foolish, noble and low, saying all are fully endowed “without the least lacking” (悉皆具足，曾無欠少). Hongzhi pairs “fully endowed from the beginning” (本來具足) with “not a hair's breadth lacking, not a hair's breadth in excess.” A later text warns that merely accepting “fully endowed from the beginning, no need to seek outside” can become empty talk. In the ordination compound “full precepts” (具足戒), the same completeness word modifies the precepts: biographies record receiving or being given the full precepts. Predicate and attributive placement express the same completeness, not different lexical referents. | The former predicate/adjective targets were grammatical uses of the same completeness word and are merged. The Chan deployment includes both lack-nothing formulas and the corpus's criticism of resting on such formulas. The full-precepts compound remains under the precepts gate and should receive longest-match priority when indexed separately. Compare fully endowed from the beginning (本來具足), completely formed (圓成), lack (欠少), full precepts (具足戒), receiving precepts (受戒), and precept (戒).	UNREVIEWED_INVESTIGATION
無分別	436	94	分別	且道不分別不思量時是箇甚麼). One passage says, 'because of second-thought distinguishing there are marks; apart from distinguishing there really are no marks' (以第二念分別故有相；若離分別，實無有相). Another says, 'when the distinguishing mind arises, one sees objects existing—this is called ignorance' (分別心起，見有境界，名為無明). A positive use also occurs: the Platform Record preserves the line, 'well able to distinguish the marks of all things, yet unmoved from the first principle' (能善分別諸法相，於第一義而不動). Attested collocations include 'the distinguishing mind' (分別心, 88 occurrences), 'without distinguishing' (無分別, 436), 'arouse or not arouse distinguishing' (起／不起分別), 'thinking and distinguishing' (思量分別), and 'deluded-thought distinguishing' (妄想分別). The entry records these uses without replacing 'distinguish' with an abstract theory.	UNREVIEWED_INVESTIGATION
者邊	435	139	那畔	Literally, 'that bank/side,' hence 'that side,' 'the other side,' or 'beyond.' The allowlisted record has 786 occurrences in 220 texts. The deictic contrast is explicit: questions set 'the matter on that side' (那畔事) against 'the matter on this side' (者邊事), and one exchange says that as soon as words are involved one falls on 'this side' (遮畔) before asking for news from 'that side' (那畔底消息). The word builds noun phrases for a matter, person, saying, road, or news located on that side. Its most frequent fixed expansion is 'beyond Awesome Sound' (威音那畔), which occurs in addresses and verses; other recurrent forms include 'the matter beyond Awesome Sound' (威音那畔事), 'a person beyond Awesome Sound' (威音那畔人), and 'a saying from beyond Awesome Sound' (威音那畔一句). A funeral address asks, 'what is the road on that side?	UNREVIEWED_INVESTIGATION
玄要	432	153	玄旨		UNREVIEWED_INVESTIGATION
闡提	432	130	呵佛罵祖	""" (訶佛罵祖是甚麼人) a master answers ""an icchantika"" (闡提漢). The texts set the phrase beside ""sort demons and screen the different"" (辨魔揀異): (辨魔揀異)，(須是頂門具眼)；(訶佛罵祖)，(還他腦後見腮) (2 texts). The texts assign the phrase no gloss beyond its literal sense, and neither does this entry. | One corpus-wide sense; the four graphs are stable, and the variants (訶/呵, 叱/罵, inverted 罵祖呵佛 2, 罵佛呵祖 1) are grep-verified; (訶佛叱祖) and (呵佛喝祖) do not occur. Attribution: (楊岐方會) speaks the (呵佛叱祖) line in his own record (袁州楊岐山普通禪院會和尚語錄, T47n1994A). The two (德山)-epithet passages are (上堂) of (真淨克文) (雲庵真淨禪師語錄, inside the 古尊宿語錄 compilation; 德山宣鑒 is the SUBJECT, not the speaker). The B27n0152 letter passage is (玉林通琇)'s own reply (its duplicate at 0656a20 opens 師復書云); the correspondent's incoming letter is the inline (附原書) note. The J-canon answers (徑截法門, 主中主, 闡提漢) are from Ming/Qing (語錄) whose masters — (大溈五峰學) (Wufeng Ruxue), (蓮月), (三山燈來) — are not on the roster, so MasterName null; do NOT read the Tang roster master (五峰) into (大溈五峰學). Multi-source: T, C, B, D and J canons, multiple independent texts and masters."	UNREVIEWED_INVESTIGATION
諸佛出身處	429	142	出身處、東山水上行	” (如何是諸佛出身處). Later records quote it as “Yunmen's saying”, ask directly for its import, set it beside other answers to the same question, and compose verses on it. A lamp biography says the hermit Ru first clarified his own view while examining this saying. Yuanwu later repeats Yunmen's exchange and supplies his own different answer to the same question: “The fragrant wind comes from the south; the halls give rise to a slight coolness” (薰風自南來，殿閣生微涼). The corpus gives no lexical gloss explaining how the mountain walks; this entry therefore retains the sentence Yunmen spoke and reports its recorded deployments.	SELECTED_NEXT500
出塵	428	172	塵勞		UNREVIEWED_INVESTIGATION
影像	425	120	光影門頭		UNREVIEWED_INVESTIGATION
阿那箇	421	115	那箇、阿誰	' (阿那箇) are interrogatives; 'that one' (那箇) and 'this one' (這箇) are demonstratives; 'who? | The expanded interrogative form (阿那箇) remains within this corpus-wide sense. Public questions, object demonstrations, person identification, and explicit this/that contrasts establish the deployment range without creating master-specific meanings.	SELECTED_NEXT500
威音那畔	419	161	空劫、那畔	Literally, 'that bank/side,' hence 'that side,' 'the other side,' or 'beyond.' The allowlisted record has 786 occurrences in 220 texts. The deictic contrast is explicit: questions set 'the matter on that side' (那畔事) against 'the matter on this side' (者邊事), and one exchange says that as soon as words are involved one falls on 'this side' (遮畔) before asking for news from 'that side' (那畔底消息). The word builds noun phrases for a matter, person, saying, road, or news located on that side. Its most frequent fixed expansion is 'beyond Awesome Sound' (威音那畔), which occurs in addresses and verses; other recurrent forms include 'the matter beyond Awesome Sound' (威音那畔事), 'a person beyond Awesome Sound' (威音那畔人), and 'a saying from beyond Awesome Sound' (威音那畔一句). A funeral address asks, 'what is the road on that side? | Corpus counts: 786 hits in 220 texts. 'Beyond Awesome Sound' (威音那畔) has 419 hits in 161 texts; 'the matter on that side' (那畔事), 33/25; 'a person on that side' (那畔人), 10/7; 'a saying on that side' (那畔一句), 4/3; 'what is that side...?	SELECTED_NEXT500
死屍	408	120	拖死屍	Literally, to drag (拖) a dead corpse (死屍). Its central Chan deployment is a teacher's public question: Xueyan Zuqin asked Gaofeng Yuanmiao, 'who dragged this dead corpse here? | Allowlist count: 64 hits in 23 texts, with 31 hits concentrated in one late record. The core case belongs to Gaofeng Yuanmiao's biography but the phrase is cited and redeployed across the corpus, so historical origin does not justify a master-specific sense. Family checked against corpse (死屍), dragging a corpse (拖屍), master-in-charge (主人公), and dragging an ancient master's corpse (拖古人死屍).	UNREVIEWED_INVESTIGATION
二十棒	407	107	棒	Allowlist counts recorded in the audit: the headword “staff/blow” (棒), 18,109 hits in 415 texts; “one blow” (一棒), 2,954; “thirty blows” (三十棒), 2,766; “twenty blows” (二十棒), 407; “one bout of blows” (一頓棒), 63; “receive a blow” (喫棒), 1,191; and “painful blows” (痛棒), 752. The object-versus-blow split is preserved and strengthened: six object witnesses and seven act witnesses, with every sense independently anchored. Attribution remains cautious because several formulas circulate in raised cases and later compilations, and witnesses differ over which Deshan bears the thirty-blows formula.	UNREVIEWED_INVESTIGATION
寶座	402	161	正令		UNREVIEWED_INVESTIGATION
參方	400	119	行腳		UNREVIEWED_INVESTIGATION
衲僧巴鼻	398	150	衲僧		UNREVIEWED_INVESTIGATION
擬心	396	132	湊泊	The graphs picture gathering in and mooring. In its dominant Chan deployment, the verb describes trying to approach, fit oneself to, or get a purchase on a saying, encounter, or stated matter. Yuanwu says that once one sets the mind on making an approach, one has already gone astray (擬心湊泊已差池), asks how one could approach when looking neither before the eyes nor within a phrase (且道如何湊泊), and describes Yunmen as leaving no place for one to find an approach (無爾湊泊處). Tianru says that the earlier teachers had no fixed form by which one could approximate and approach them (前輩得之者亦無定法，所以準擬湊泊他不得). A transmission record likewise calls a master's encounters in his room steep and impossible to approach (室中機緣尤為嶮峻不可湊泊). The compound occurs 570 times in 184 allowlisted files; the recurring shapes include “no place to approach,” “unable to approach,” “how can one approach?	SELECTED_NEXT500
心安	394	169	安心		UNREVIEWED_INVESTIGATION
豐干	393	127	寒山、拾得	Primary person sense. Shide and Hanshan (拾得寒山 / 寒山拾得) and Fenggan (豐干) form the recurring figure family. The ordinary verb is split below because it denotes a different action, not a reading of the person.	SELECTED_NEXT500
正位	393	109	君臣	The Caodong technical configuration of lord and minister. The term occurs 960 times in 217 allowlisted texts. Caoshan maps the lord to the upright position and the minister to the crooked, then names minister-facing-lord, lord-regarding-minister, and lord-and-minister-in-accord (君為正位。	SELECTED_NEXT500
傳燈錄	382	61	傳燈、燈錄、聯燈		SELECTED_NEXT500
具一隻眼	381	141	具眼	To possess or be equipped with (具) the eye (眼): to have the eye, meaning to possess genuine discernment. The eye is what distinguishes true from false in the recorded case comments. Recurrent closing invitations include 'let one who possesses the eye discern' (具眼者辨看), 'let one who possesses the eye look and take it up' (具眼者看取), and 'let one who possesses the eye distinguish it' (具眼者辯取); the form 'one who possesses the eye' (具眼者) occurs 363 times in 162 texts. A person may be called 'a patch-robed monk who possesses the eye' (具眼衲僧, 77 occurrences in 54 texts) or 'an adept who possesses the eye' (具眼作家, 4). Related forms are 'possess one eye' (具一隻眼, 381), 'possess the true eye' (具正眼, 52), and 'one who possesses the eye' (具眼底, 70). The headword occurs 1,346 times in 280 allowlist texts.	UNREVIEWED_INVESTIGATION
明歷歷	380	180	赤灑灑	A repeated descriptive expression for being bare, exposed, and without covering. The term occurs 368 times in 143 allowed texts. Its recurring parallel is 'cleanly naked' (淨裸裸); records expand it with 'without covering' (無蓋覆), 'nothing that can be grasped' (沒可把), and 'fully exposed' (全露). These textual predicates establish what the expression describes without turning it into a condition to seek. The records also qualify it. Yuanwu says that being cleanly naked, cut off from thought, bare, and with nothing to grasp has 'still not left this-side affairs' (猶未離這邊事在). Later collections likewise say that even when one is cleanly naked, bare, and has nothing to grasp, 'there is still something fine remaining' (尚有廉纖), and contrast the relative ease of being bare with the difficulty of being distinctly evident (明歷歷). The corpus has five occurrences of the adverbial extension 'in a bare and uncovered manner' (赤灑灑地).	UNREVIEWED_INVESTIGATION
拈華	379	99	拈花		UNREVIEWED_INVESTIGATION
點檢	378	91	把手共行		SELECTED_NEXT500
不二法門	375	125	維摩詰		SELECTED_NEXT500
